id	name	url	type
108829210	unidad15.pdf	https://astronomiaestelarlp.pbworks.com/w/file/108829210/unidad15.pdf	file
107977820	unidad09.pdf	https://astronomiaestelarlp.pbworks.com/w/file/107977820/unidad09.pdf	file
107881109	unidad08.pdf	https://astronomiaestelarlp.pbworks.com/w/file/107881109/unidad08.pdf	file
139451355	Bessel2005ARAA43p293.pdf	https://astronomiaestelarlp.pbworks.com/w/file/139451355/Bessel2005ARAA43p293.pdf	file
137308338	WhatsApp Image 2019-12-06 at 18.20.47.jpeg	https://astronomiaestelarlp.pbworks.com/w/file/137308338/WhatsApp%20Image%202019-12-06%20at%2018.20.47.jpeg	file
137308335	WhatsApp Image 2019-12-06 at 18.20.47 (4).jpeg	https://astronomiaestelarlp.pbworks.com/w/file/137308335/WhatsApp%20Image%202019-12-06%20at%2018.20.47%20%284%29.jpeg	file
137308332	WhatsApp Image 2019-12-06 at 18.20.47 (3).jpeg	https://astronomiaestelarlp.pbworks.com/w/file/137308332/WhatsApp%20Image%202019-12-06%20at%2018.20.47%20%283%29.jpeg	file
137308329	WhatsApp Image 2019-12-06 at 18.20.47 (2).jpeg	https://astronomiaestelarlp.pbworks.com/w/file/137308329/WhatsApp%20Image%202019-12-06%20at%2018.20.47%20%282%29.jpeg	file
137308326	WhatsApp Image 2019-12-06 at 18.20.47 (1).jpeg	https://astronomiaestelarlp.pbworks.com/w/file/137308326/WhatsApp%20Image%202019-12-06%20at%2018.20.47%20%281%29.jpeg	file
135056787	Diagrama HR_LPVs.xcf	https://astronomiaestelarlp.pbworks.com/w/file/135056787/Diagrama%20HR_LPVs.xcf	file
134894400	alma.png	https://astronomiaestelarlp.pbworks.com/w/file/134894400/alma.png	file
134894280	2slit.png	https://astronomiaestelarlp.pbworks.com/w/file/134894280/2slit.png	file
134883663	intf.png	https://astronomiaestelarlp.pbworks.com/w/file/134883663/intf.png	file
132398892	clip_image001_0002.jpg	https://astronomiaestelarlp.pbworks.com/w/file/132398892/clip_image001_0002.jpg	file
132398682	figura(1).png	https://astronomiaestelarlp.pbworks.com/w/file/132398682/figura%281%29.png	file
132398556	51pegb(1).png	https://astronomiaestelarlp.pbworks.com/w/file/132398556/51pegb%281%29.png	file
132398535	rv2(2).jpg	https://astronomiaestelarlp.pbworks.com/w/file/132398535/rv2%282%29.jpg	file
132398517	rv2(1).jpg	https://astronomiaestelarlp.pbworks.com/w/file/132398517/rv2%281%29.jpg	file
132398493	exoplanetas2.jpg	https://astronomiaestelarlp.pbworks.com/w/file/132398493/exoplanetas2.jpg	file
132398412	figura2.png	https://astronomiaestelarlp.pbworks.com/w/file/132398412/figura2.png	file
132398373	figura2.xcf	https://astronomiaestelarlp.pbworks.com/w/file/132398373/figura2.xcf	file
132398364	current(2).png	https://astronomiaestelarlp.pbworks.com/w/file/132398364/current%282%29.png	file
132398211	inclinacion.png	https://astronomiaestelarlp.pbworks.com/w/file/132398211/inclinacion.png	file
132398070	figura.png	https://astronomiaestelarlp.pbworks.com/w/file/132398070/figura.png	file
132398001	ogletr56.png	https://astronomiaestelarlp.pbworks.com/w/file/132398001/ogletr56.png	file
132397986	51pegb.png	https://astronomiaestelarlp.pbworks.com/w/file/132397986/51pegb.png	file
132397974	transito.png	https://astronomiaestelarlp.pbworks.com/w/file/132397974/transito.png	file
132397896	harps (copia 1).png	https://astronomiaestelarlp.pbworks.com/w/file/132397896/harps%20%28copia%201%29.png	file
132397797	hd82943.png	https://astronomiaestelarlp.pbworks.com/w/file/132397797/hd82943.png	file
132397785	hd108147.png	https://astronomiaestelarlp.pbworks.com/w/file/132397785/hd108147.png	file
132397572	51pegfase.png	https://astronomiaestelarlp.pbworks.com/w/file/132397572/51pegfase.png	file
132397413	51pegb.jpg	https://astronomiaestelarlp.pbworks.com/w/file/132397413/51pegb.jpg	file
132396738	rv2.jpg	https://astronomiaestelarlp.pbworks.com/w/file/132396738/rv2.jpg	file
132396642	exoplanetas.jpg	https://astronomiaestelarlp.pbworks.com/w/file/132396642/exoplanetas.jpg	file
130905033	Astronomical_observations_a_guide_for_allied_researchers_1812.07963.pdf	https://astronomiaestelarlp.pbworks.com/w/file/130905033/Astronomical_observations_a_guide_for_allied_researchers_1812.07963.pdf	file
130786428	img87.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786428/img87.jpg	file
130786449	img106.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786449/img106.jpg	file
130786443	img98.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786443/img98.jpg	file
130786446	img100.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786446/img100.jpg	file
130786440	img96.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786440/img96.jpg	file
130786437	img94.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786437/img94.jpg	file
130786431	img90.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786431/img90.jpg	file
130786434	img92.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786434/img92.jpg	file
130786425	img85.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786425/img85.jpg	file
130786422	img81.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786422/img81.jpg	file
130786419	img33.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786419/img33.jpg	file
130786416	img42.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786416/img42.jpg	file
130786410	img31.jpg	https://astronomiaestelarlp.pbworks.com/w/file/130786410/img31.jpg	file
